"","time_point","survey","location_name","species","total","event","n_tl","prev_tl","n_healthy"
"183","May22","May22","South Reef Central","Siderastrea siderea",32,"May22_South Reef Central_Siderastrea siderea",6,0.1875,26
"184","May22","May22","South Reef Central","Stephanocoenia intersepta",1,"May22_South Reef Central_Stephanocoenia intersepta",0,0,1
"185","October19","November19","CBC Central","Agaricia agaricites",140,"November19_CBC Central_Agaricia agaricites",0,0,140
"186","October19","November19","CBC Central","Agaricia spp.",2,"November19_CBC Central_Agaricia spp.",0,0,2
"187","October19","November19","CBC Central","Agaricia tenuifolia",34,"November19_CBC Central_Agaricia tenuifolia",0,0,34
"188","October19","November19","CBC Central","Dichocoenia stokesii",5,"November19_CBC Central_Dichocoenia stokesii",0,0,5
"189","October19","November19","CBC Central","Diploria labyrinthiformis",2,"November19_CBC Central_Diploria labyrinthiformis",0,0,2
"190","October19","November19","CBC Central","Eusmilia fastigiata",2,"November19_CBC Central_Eusmilia fastigiata",0,0,2
"191","October19","November19","CBC Central","Madracis decactis",1,"November19_CBC Central_Madracis decactis",0,0,1
"192","October19","November19","CBC Central","Meandrina meandrites",3,"November19_CBC Central_Meandrina meandrites",0,0,3
"193","October19","November19","CBC Central","Montastraea cavernosa",9,"November19_CBC Central_Montastraea cavernosa",0,0,9
"194","October19","November19","CBC Central","Orbicella spp.",9,"November19_CBC Central_Orbicella spp.",0,0,9
"195","October19","November19","CBC Central","Porites astreoides",93,"November19_CBC Central_Porites astreoides",1,0.010752688172043,92
"196","October19","November19","CBC Central","Porites porities",40,"November19_CBC Central_Porites porities",0,0,40
"197","October19","November19","CBC Central","Pseudodiploria strigosa",8,"November19_CBC Central_Pseudodiploria strigosa",0,0,8
"198","October19","November19","CBC Central","Siderastrea radians",1,"November19_CBC Central_Siderastrea radians",0,0,1
"199","October19","November19","CBC Central","Siderastrea siderea",117,"November19_CBC Central_Siderastrea siderea",0,0,117
"200","October19","November19","CBC Central","Stephanocoenia intersepta",9,"November19_CBC Central_Stephanocoenia intersepta",0,0,9
"201","October19","November19","CBC Lagoon","Agaricia agaricites",121,"November19_CBC Lagoon_Agaricia agaricites",0,0,121
"202","October19","November19","CBC Lagoon","Agaricia tenuifolia",107,"November19_CBC Lagoon_Agaricia tenuifolia",0,0,107
"203","October19","November19","CBC Lagoon","Dichocoenia stokesii",3,"November19_CBC Lagoon_Dichocoenia stokesii",0,0,3
"204","October19","November19","CBC Lagoon","Diploria labyrinthiformis",2,"November19_CBC Lagoon_Diploria labyrinthiformis",0,0,2
