"","survey","location_name","species","n_tl","n_healthy"
"418","December22","CBC Lagoon","Isophyllia sinuosa",0,0
"419","December22","CBC Lagoon","Madracis decactis",0,0
"420","December22","CBC Lagoon","Meandrina meandrites",0,0
"421","December22","CBC Lagoon","Montastraea cavernosa",2,0
"422","December22","CBC Lagoon","Mycetophyllia aliciae",0,0
"423","December22","CBC Lagoon","Mycetophyllia spp.",0,0
"424","December22","CBC Lagoon","Orbicella spp.",1,5
"425","December22","CBC Lagoon","Porites astreoides",0,49
"426","December22","CBC Lagoon","Porites porites",0,16
"427","December22","CBC Lagoon","Pseudodiploria clivosa",0,0
"428","December22","CBC Lagoon","Pseudodiploria strigosa",0,2
"429","December22","CBC Lagoon","Scolymia cubensis",0,0
"430","December22","CBC Lagoon","Siderastrea radians",0,0
"431","December22","CBC Lagoon","Siderastrea siderea",6,6
"432","December22","CBC Lagoon","Stephanocoenia intersepta",0,1
"433","December22","CBC30N","Acropora cervicornis",0,0
"434","December22","CBC30N","Agaricia agaricites",1,32
"435","December22","CBC30N","Agaricia lamarckiana",0,0
"436","December22","CBC30N","Agaricia tenuifolia",0,16
"437","December22","CBC30N","Colpophyllia natans",0,0
"438","December22","CBC30N","Dendrogyra cylindrus",0,0
"439","December22","CBC30N","Dichocoenia stokesii",0,0
"440","December22","CBC30N","Diploria labyrinthiformis",0,0
"441","December22","CBC30N","Eusmilia fastigiata",0,0
"442","December22","CBC30N","Favia fragum",0,0
"443","December22","CBC30N","Helioseris cucullata",0,0
"444","December22","CBC30N","Isophyllia rigida",0,0
"445","December22","CBC30N","Isophyllia sinuosa",0,0
"446","December22","CBC30N","Madracis decactis",0,0
"447","December22","CBC30N","Meandrina meandrites",0,0
"448","December22","CBC30N","Montastraea cavernosa",0,2
"449","December22","CBC30N","Mycetophyllia aliciae",0,0
"450","December22","CBC30N","Mycetophyllia spp.",0,0
"451","December22","CBC30N","Orbicella spp.",1,6
"452","December22","CBC30N","Porites astreoides",0,57
"453","December22","CBC30N","Porites porites",0,12
"454","December22","CBC30N","Pseudodiploria clivosa",0,0
"455","December22","CBC30N","Pseudodiploria strigosa",0,0
"456","December22","CBC30N","Scolymia cubensis",0,0
"457","December22","CBC30N","Siderastrea radians",0,5
"458","December22","CBC30N","Siderastrea siderea",16,18
"459","December22","CBC30N","Stephanocoenia intersepta",0,5
"460","December22","Curlew Patch","Acropora cervicornis",0,0
"461","December22","Curlew Patch","Agaricia agaricites",0,50
"462","December22","Curlew Patch","Agaricia lamarckiana",0,0
"463","December22","Curlew Patch","Agaricia tenuifolia",0,66
"464","December22","Curlew Patch","Colpophyllia natans",0,0
"465","December22","Curlew Patch","Dendrogyra cylindrus",0,0
"466","December22","Curlew Patch","Dichocoenia stokesii",0,0
"467","December22","Curlew Patch","Diploria labyrinthiformis",0,1
"468","December22","Curlew Patch","Eusmilia fastigiata",0,0
"469","December22","Curlew Patch","Favia fragum",0,0
"470","December22","Curlew Patch","Helioseris cucullata",0,0
"471","December22","Curlew Patch","Isophyllia rigida",0,0
"472","December22","Curlew Patch","Isophyllia sinuosa",0,0
"473","December22","Curlew Patch","Madracis decactis",0,0
"474","December22","Curlew Patch","Meandrina meandrites",0,0
"475","December22","Curlew Patch","Montastraea cavernosa",0,3
"476","December22","Curlew Patch","Mycetophyllia aliciae",0,0
"477","December22","Curlew Patch","Mycetophyllia spp.",0,0
"478","December22","Curlew Patch","Orbicella spp.",0,8
"479","December22","Curlew Patch","Porites astreoides",0,36
"480","December22","Curlew Patch","Porites porites",0,39
"481","December22","Curlew Patch","Pseudodiploria clivosa",0,0
"482","December22","Curlew Patch","Pseudodiploria strigosa",0,0
"483","December22","Curlew Patch","Scolymia cubensis",0,0
"484","December22","Curlew Patch","Siderastrea radians",0,0
"485","December22","Curlew Patch","Siderastrea siderea",8,20
"486","December22","Curlew Patch","Stephanocoenia intersepta",0,0
"487","December22","House Reef","Acropora cervicornis",0,0
"488","December22","House Reef","Agaricia agaricites",1,125
"489","December22","House Reef","Agaricia lamarckiana",0,0
"490","December22","House Reef","Agaricia tenuifolia",1,35
"491","December22","House Reef","Colpophyllia natans",0,0
"492","December22","House Reef","Dendrogyra cylindrus",0,0
"493","December22","House Reef","Dichocoenia stokesii",0,0
"494","December22","House Reef","Diploria labyrinthiformis",0,0
"495","December22","House Reef","Eusmilia fastigiata",0,0
"496","December22","House Reef","Favia fragum",0,0
"497","December22","House Reef","Helioseris cucullata",0,0
"498","December22","House Reef","Isophyllia rigida",0,0
"499","December22","House Reef","Isophyllia sinuosa",0,0
"500","December22","House Reef","Madracis decactis",0,0
"501","December22","House Reef","Meandrina meandrites",0,0
"502","December22","House Reef","Montastraea cavernosa",0,1
"503","December22","House Reef","Mycetophyllia aliciae",0,0
"504","December22","House Reef","Mycetophyllia spp.",0,0
"505","December22","House Reef","Orbicella spp.",2,21
"506","December22","House Reef","Porites astreoides",0,30
"507","December22","House Reef","Porites porites",0,11
"508","December22","House Reef","Pseudodiploria clivosa",0,0
"509","December22","House Reef","Pseudodiploria strigosa",4,1
"510","December22","House Reef","Scolymia cubensis",0,0
"511","December22","House Reef","Siderastrea radians",1,109
"512","December22","House Reef","Siderastrea siderea",8,21
"513","December22","House Reef","Stephanocoenia intersepta",0,4
"514","December22","SR30N","Acropora cervicornis",0,0
"515","December22","SR30N","Agaricia agaricites",0,63
"516","December22","SR30N","Agaricia lamarckiana",0,0
"517","December22","SR30N","Agaricia tenuifolia",0,31
"518","December22","SR30N","Colpophyllia natans",0,1
"519","December22","SR30N","Dendrogyra cylindrus",0,0
"520","December22","SR30N","Dichocoenia stokesii",0,1
"521","December22","SR30N","Diploria labyrinthiformis",0,0
"522","December22","SR30N","Eusmilia fastigiata",0,0
"523","December22","SR30N","Favia fragum",0,0
"524","December22","SR30N","Helioseris cucullata",0,0
"525","December22","SR30N","Isophyllia rigida",0,1
"526","December22","SR30N","Isophyllia sinuosa",0,0
"527","December22","SR30N","Madracis decactis",0,1
"528","December22","SR30N","Meandrina meandrites",0,0
"529","December22","SR30N","Montastraea cavernosa",0,2
"530","December22","SR30N","Mycetophyllia aliciae",0,0
"531","December22","SR30N","Mycetophyllia spp.",0,0
"532","December22","SR30N","Orbicella spp.",0,11
"533","December22","SR30N","Porites astreoides",0,39
"534","December22","SR30N","Porites porites",0,44
"535","December22","SR30N","Pseudodiploria clivosa",0,1
"536","December22","SR30N","Pseudodiploria strigosa",1,5
"537","December22","SR30N","Scolymia cubensis",0,0
"538","December22","SR30N","Siderastrea radians",0,0
"539","December22","SR30N","Siderastrea siderea",9,12
"540","December22","SR30N","Stephanocoenia intersepta",0,1
"541","December22","South Reef Central","Acropora cervicornis",0,0
"542","December22","South Reef Central","Agaricia agaricites",1,75
"543","December22","South Reef Central","Agaricia lamarckiana",0,0
"544","December22","South Reef Central","Agaricia tenuifolia",0,43
"545","December22","South Reef Central","Colpophyllia natans",0,0
"546","December22","South Reef Central","Dendrogyra cylindrus",0,0
"547","December22","South Reef Central","Dichocoenia stokesii",0,0
"548","December22","South Reef Central","Diploria labyrinthiformis",0,0
"549","December22","South Reef Central","Eusmilia fastigiata",0,0
"550","December22","South Reef Central","Favia fragum",0,0
"551","December22","South Reef Central","Helioseris cucullata",0,2
"552","December22","South Reef Central","Isophyllia rigida",0,0
"553","December22","South Reef Central","Isophyllia sinuosa",0,0
"554","December22","South Reef Central","Madracis decactis",0,2
"555","December22","South Reef Central","Meandrina meandrites",0,0
"556","December22","South Reef Central","Montastraea cavernosa",0,6
"557","December22","South Reef Central","Mycetophyllia aliciae",0,0
"558","December22","South Reef Central","Mycetophyllia spp.",0,0
"559","December22","South Reef Central","Orbicella spp.",0,5
"560","December22","South Reef Central","Porites astreoides",0,78
"561","December22","South Reef Central","Porites porites",0,47
"562","December22","South Reef Central","Pseudodiploria clivosa",0,0
"563","December22","South Reef Central","Pseudodiploria strigosa",0,1
"564","December22","South Reef Central","Scolymia cubensis",0,1
"565","December22","South Reef Central","Siderastrea radians",0,0
"566","December22","South Reef Central","Siderastrea siderea",8,24
"567","December22","South Reef Central","Stephanocoenia intersepta",0,3
