"","survey","location_name","species","n_tl","n_healthy"
"106","Oct 2019/Jan 2020","Curlew Patch","Siderastrea radians",0,0
"107","Oct 2019/Jan 2020","Curlew Patch","Siderastrea siderea",0,39
"108","Oct 2019/Jan 2020","Curlew Patch","Stephanocoenia intersepta",0,5
"109","Oct 2019/Jan 2020","House Reef","Acropora cervicornis",0,2
"110","Oct 2019/Jan 2020","House Reef","Agaricia agaricites",2,179
"111","Oct 2019/Jan 2020","House Reef","Agaricia lamarckiana",0,0
"112","Oct 2019/Jan 2020","House Reef","Agaricia tenuifolia",1,28
"113","Oct 2019/Jan 2020","House Reef","Colpophyllia natans",0,0
"114","Oct 2019/Jan 2020","House Reef","Dendrogyra cylindrus",0,0
"115","Oct 2019/Jan 2020","House Reef","Dichocoenia stokesii",0,2
"116","Oct 2019/Jan 2020","House Reef","Diploria labyrinthiformis",0,0
"117","Oct 2019/Jan 2020","House Reef","Eusmilia fastigiata",0,3
"118","Oct 2019/Jan 2020","House Reef","Favia fragum",0,1
"119","Oct 2019/Jan 2020","House Reef","Helioseris cucullata",0,0
"120","Oct 2019/Jan 2020","House Reef","Isophyllia rigida",0,0
"121","Oct 2019/Jan 2020","House Reef","Isophyllia sinuosa",0,0
"122","Oct 2019/Jan 2020","House Reef","Madracis decactis",0,0
"123","Oct 2019/Jan 2020","House Reef","Meandrina meandrites",0,0
"124","Oct 2019/Jan 2020","House Reef","Montastraea cavernosa",0,1
"125","Oct 2019/Jan 2020","House Reef","Mycetophyllia aliciae",0,0
"126","Oct 2019/Jan 2020","House Reef","Mycetophyllia spp.",0,0
"127","Oct 2019/Jan 2020","House Reef","Orbicella spp.",0,77
"128","Oct 2019/Jan 2020","House Reef","Porites astreoides",0,52
"129","Oct 2019/Jan 2020","House Reef","Porites porites",0,12
"130","Oct 2019/Jan 2020","House Reef","Pseudodiploria clivosa",0,0
"131","Oct 2019/Jan 2020","House Reef","Pseudodiploria strigosa",0,10
"132","Oct 2019/Jan 2020","House Reef","Scolymia cubensis",0,0
"133","Oct 2019/Jan 2020","House Reef","Siderastrea radians",0,56
"134","Oct 2019/Jan 2020","House Reef","Siderastrea siderea",0,21
"135","Oct 2019/Jan 2020","House Reef","Stephanocoenia intersepta",0,3
"136","Oct 2019/Jan 2020","SR30N","Acropora cervicornis",0,0
"137","Oct 2019/Jan 2020","SR30N","Agaricia agaricites",0,129
"138","Oct 2019/Jan 2020","SR30N","Agaricia lamarckiana",0,0
"139","Oct 2019/Jan 2020","SR30N","Agaricia tenuifolia",0,24
"140","Oct 2019/Jan 2020","SR30N","Colpophyllia natans",0,1
"141","Oct 2019/Jan 2020","SR30N","Dendrogyra cylindrus",0,1
"142","Oct 2019/Jan 2020","SR30N","Dichocoenia stokesii",0,2
"143","Oct 2019/Jan 2020","SR30N","Diploria labyrinthiformis",0,0
"144","Oct 2019/Jan 2020","SR30N","Eusmilia fastigiata",0,1
"145","Oct 2019/Jan 2020","SR30N","Favia fragum",0,0
"146","Oct 2019/Jan 2020","SR30N","Helioseris cucullata",0,5
"147","Oct 2019/Jan 2020","SR30N","Isophyllia rigida",0,0
"148","Oct 2019/Jan 2020","SR30N","Isophyllia sinuosa",0,0
"149","Oct 2019/Jan 2020","SR30N","Madracis decactis",0,2
"150","Oct 2019/Jan 2020","SR30N","Meandrina meandrites",0,1
"151","Oct 2019/Jan 2020","SR30N","Montastraea cavernosa",0,6
"152","Oct 2019/Jan 2020","SR30N","Mycetophyllia aliciae",0,0
"153","Oct 2019/Jan 2020","SR30N","Mycetophyllia spp.",0,2
"154","Oct 2019/Jan 2020","SR30N","Orbicella spp.",0,10
"155","Oct 2019/Jan 2020","SR30N","Porites astreoides",0,61
"156","Oct 2019/Jan 2020","SR30N","Porites porites",0,30
"157","Oct 2019/Jan 2020","SR30N","Pseudodiploria clivosa",0,0
"158","Oct 2019/Jan 2020","SR30N","Pseudodiploria strigosa",0,8
"159","Oct 2019/Jan 2020","SR30N","Scolymia cubensis",0,0
"160","Oct 2019/Jan 2020","SR30N","Siderastrea radians",0,0
"161","Oct 2019/Jan 2020","SR30N","Siderastrea siderea",0,85
"162","Oct 2019/Jan 2020","SR30N","Stephanocoenia intersepta",0,5
"163","Oct 2019/Jan 2020","South Reef Central","Acropora cervicornis",0,0
"164","Oct 2019/Jan 2020","South Reef Central","Agaricia agaricites",0,125
"165","Oct 2019/Jan 2020","South Reef Central","Agaricia lamarckiana",0,0
"166","Oct 2019/Jan 2020","South Reef Central","Agaricia tenuifolia",1,16
"167","Oct 2019/Jan 2020","South Reef Central","Colpophyllia natans",0,0
"168","Oct 2019/Jan 2020","South Reef Central","Dendrogyra cylindrus",0,0
"169","Oct 2019/Jan 2020","South Reef Central","Dichocoenia stokesii",0,5
"170","Oct 2019/Jan 2020","South Reef Central","Diploria labyrinthiformis",0,0
"171","Oct 2019/Jan 2020","South Reef Central","Eusmilia fastigiata",0,0
"172","Oct 2019/Jan 2020","South Reef Central","Favia fragum",0,0
"173","Oct 2019/Jan 2020","South Reef Central","Helioseris cucullata",0,3
"174","Oct 2019/Jan 2020","South Reef Central","Isophyllia rigida",0,0
"175","Oct 2019/Jan 2020","South Reef Central","Isophyllia sinuosa",0,0
"176","Oct 2019/Jan 2020","South Reef Central","Madracis decactis",0,6
"177","Oct 2019/Jan 2020","South Reef Central","Meandrina meandrites",0,2
"178","Oct 2019/Jan 2020","South Reef Central","Montastraea cavernosa",0,8
"179","Oct 2019/Jan 2020","South Reef Central","Mycetophyllia aliciae",0,0
"180","Oct 2019/Jan 2020","South Reef Central","Mycetophyllia spp.",0,0
"181","Oct 2019/Jan 2020","South Reef Central","Orbicella spp.",0,12
"182","Oct 2019/Jan 2020","South Reef Central","Porites astreoides",2,75
"183","Oct 2019/Jan 2020","South Reef Central","Porites porites",1,24
"184","Oct 2019/Jan 2020","South Reef Central","Pseudodiploria clivosa",0,0
"185","Oct 2019/Jan 2020","South Reef Central","Pseudodiploria strigosa",0,6
"186","Oct 2019/Jan 2020","South Reef Central","Scolymia cubensis",0,0
"187","Oct 2019/Jan 2020","South Reef Central","Siderastrea radians",0,1
"188","Oct 2019/Jan 2020","South Reef Central","Siderastrea siderea",0,53
"189","Oct 2019/Jan 2020","South Reef Central","Stephanocoenia intersepta",0,4
"190","May 2022","CBC Central","Acropora cervicornis",0,0
"191","May 2022","CBC Central","Agaricia agaricites",1,64
"192","May 2022","CBC Central","Agaricia lamarckiana",0,0
"193","May 2022","CBC Central","Agaricia tenuifolia",1,28
"194","May 2022","CBC Central","Colpophyllia natans",0,0
"195","May 2022","CBC Central","Dendrogyra cylindrus",0,0
"196","May 2022","CBC Central","Dichocoenia stokesii",0,0
"197","May 2022","CBC Central","Diploria labyrinthiformis",1,1
"198","May 2022","CBC Central","Eusmilia fastigiata",0,0
"199","May 2022","CBC Central","Favia fragum",0,0
"200","May 2022","CBC Central","Helioseris cucullata",0,0
"201","May 2022","CBC Central","Isophyllia rigida",0,0
"202","May 2022","CBC Central","Isophyllia sinuosa",0,0
"203","May 2022","CBC Central","Madracis decactis",0,0
"204","May 2022","CBC Central","Meandrina meandrites",0,0
"205","May 2022","CBC Central","Montastraea cavernosa",1,0
"206","May 2022","CBC Central","Mycetophyllia aliciae",0,0
"207","May 2022","CBC Central","Mycetophyllia spp.",0,0
"208","May 2022","CBC Central","Orbicella spp.",1,2
"209","May 2022","CBC Central","Porites astreoides",0,71
"210","May 2022","CBC Central","Porites porites",0,27
"211","May 2022","CBC Central","Pseudodiploria clivosa",0,0
"212","May 2022","CBC Central","Pseudodiploria strigosa",1,4
"213","May 2022","CBC Central","Scolymia cubensis",0,0
"214","May 2022","CBC Central","Siderastrea radians",0,1
"215","May 2022","CBC Central","Siderastrea siderea",1,27
"216","May 2022","CBC Central","Stephanocoenia intersepta",0,7
"217","May 2022","CBC Lagoon","Acropora cervicornis",0,0
"218","May 2022","CBC Lagoon","Agaricia agaricites",0,61
"219","May 2022","CBC Lagoon","Agaricia lamarckiana",0,0
"220","May 2022","CBC Lagoon","Agaricia tenuifolia",19,75
"221","May 2022","CBC Lagoon","Colpophyllia natans",0,0
"222","May 2022","CBC Lagoon","Dendrogyra cylindrus",0,0
"223","May 2022","CBC Lagoon","Dichocoenia stokesii",0,1
"224","May 2022","CBC Lagoon","Diploria labyrinthiformis",1,0
"225","May 2022","CBC Lagoon","Eusmilia fastigiata",0,1
"226","May 2022","CBC Lagoon","Favia fragum",0,0
"227","May 2022","CBC Lagoon","Helioseris cucullata",0,0
"228","May 2022","CBC Lagoon","Isophyllia rigida",0,0
"229","May 2022","CBC Lagoon","Isophyllia sinuosa",0,0
"230","May 2022","CBC Lagoon","Madracis decactis",0,0
"231","May 2022","CBC Lagoon","Meandrina meandrites",0,0
"232","May 2022","CBC Lagoon","Montastraea cavernosa",2,3
"233","May 2022","CBC Lagoon","Mycetophyllia aliciae",0,0
